"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cockroach-manager",,,,"User:","docker-user"
"Cmdline:","dstat -t -c -m -d -n --noupdate --output cockroach-80-workloadb-1024-20201207-180326-0.csv 1 400",,,,"Date:","07 Dec 2020 18:03:37 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"net/total",
07-12 18:07:13,48.404,13.830,33.777,3.723,0.266,2614919168,25892007936,96268288,4863455232,0,3563520,3217472,3925432
07-12 18:07:14,54.937,9.114,33.671,2.278,0,2613710848,25882107904,96268288,4874563584,0,12419072,2824705,2673142
07-12 18:07:15,50.250,13.250,31.500,4.750,0.250,2547359744,25943457792,96268288,4879564800,0,35483648,2493207,2397530
07-12 18:07:16,50,16.837,28.827,4.082,0.255,2577797120,25913405440,96268288,4879179776,0,32198656,3359398,4099697
07-12 18:07:17,50.131,13.577,32.637,3.394,0.261,2595414016,25894543360,96268288,4880424960,0,24276992,3281432,4234873
07-12 18:07:18,45.547,13.740,37.150,3.308,0.254,2600292352,25895526400,96268288,4874563584,0,4177920,3260493,3687475
07-12 18:07:19,53.885,13.283,29.323,3.258,0.251,2601508864,25894305792,96268288,4874567680,0,4444160,3355415,4664330
07-12 18:07:20,48.031,12.336,35.958,3.412,0.262,2601889792,25893920768,96268288,4874571776,0,2916352,2733603,3030741
07-12 18:07:21,37.340,12.276,47.826,2.302,0.256,2601979904,25893826560,96268288,4874575872,0,1642496,1975152,2020337
07-12 18:07:22,50.129,10.797,36.761,2.057,0.257,2602123264,25893679104,96268288,4874579968,0,1515520,2667911,2616298
07-12 18:07:23,44.103,13.333,38.205,3.846,0.513,2601910272,25893875712,96268288,4874596352,0,2912256,2566205,2960216
07-12 18:07:24,53.571,13.265,29.082,3.827,0.255,2603409408,25892372480,96272384,4874596352,0,3874816,3406156,4344000
07-12 18:07:25,45,15.263,34.474,5,0.263,2603417600,25892364288,96272384,4874596352,0,4022272,2787294,3539563
07-12 18:07:26,41.026,13.333,42.821,2.821,0,2603749376,25892028416,96272384,4874600448,0,2670592,2793763,3204681
07-12 18:07:27,42.199,12.788,40.665,4.092,0.256,2604302336,25891471360,96272384,4874604544,0,3317760,2762764,3279549
07-12 18:07:28,51.493,11.940,33.582,2.736,0.249,2604429312,25891340288,96272384,4874608640,0,2637824,3006493,3525566
07-12 18:07:29,30.585,10.372,55.053,3.723,0.266,2604310528,25891454976,96272384,4874612736,0,1777664,2038885,2124993
07-12 18:07:30,49.123,11.028,35.840,3.258,0.752,2606161920,25889595392,96272384,4874620928,0,2256896,2602393,2757072
07-12 18:07:31,49.364,9.669,38.931,2.036,0,2606100480,25889656832,96272384,4874620928,0,1785856,2420898,2362225
07-12 18:07:32,35.809,12.202,48.806,2.918,0.265,2605981696,25889771520,96272384,4874625024,0,1769472,2626672,2751826
07-12 18:07:33,34.286,11.948,50.130,3.377,0.260,2606047232,25889697792,96272384,4874633216,0,2076672,2226183,2389039
07-12 18:07:34,54.822,12.944,28.173,3.807,0.254,2607378432,25888333824,96272384,4874665984,0,4644864,3617002,4952906
07-12 18:07:35,55.330,13.452,27.919,3.046,0.254,2608480256,25887227904,96272384,4874670080,0,4202496,3484866,4559283
07-12 18:07:36,58.603,12.469,26.434,2.494,0,2609147904,25886560256,96272384,4874670080,0,3080192,3776264,4802412
07-12 18:07:37,61.266,11.139,25.570,1.772,0.253,2609815552,25885888512,96272384,4874674176,0,3047424,3369796,5016413
07-12 18:07:38,55.102,14.031,28.316,2.551,0,2610688000,25885011968,96272384,4874678272,0,4091904,3448355,4730747
07-12 18:07:39,58.481,11.899,25.823,3.544,0.253,2611437568,25884258304,96272384,4874682368,0,4595712,3017669,3804323
07-12 18:07:40,52.926,11.705,31.807,3.308,0.254,2611818496,25883865088,96272384,4874694656,0,3481600,3151306,3639587
07-12 18:07:41,41.032,11.302,44.226,3.194,0.246,2611744768,25883930624,96272384,4874702848,0,2056192,2268821,2202040
07-12 18:07:42,41.842,12.368,42.105,3.684,0,2612183040,25883492352,96272384,4874702848,0,2752512,2908090,3141829
07-12 18:07:43,60.553,11.307,24.874,3.015,0.251,2613792768,25881878528,96272384,4874706944,0,3981312,3571478,5128785
07-12 18:07:44,62.408,11.057,24.816,1.720,0,2614521856,25881145344,96272384,4874711040,0,2625536,3424276,4736016
07-12 18:07:45,58.312,12.788,25.831,2.558,0.512,2614870016,25880793088,96272384,4874715136,0,3764224,3604659,4772941
07-12 18:07:46,52.525,12.374,32.576,2.525,0,2617638912,25878016000,96272384,4874723328,0,3035136,2921496,3288490
07-12 18:07:47,57.644,12.281,27.068,2.506,0.501,2615111680,25880539136,96272384,4874727424,0,3452928,2829209,3566191
07-12 18:07:48,57.614,12.690,26.396,3.046,0.254,2616774656,25878876160,96272384,4874727424,0,3489792,3533967,4849653
07-12 18:07:49,59.640,12.339,24.936,2.571,0.514,2616848384,25878802432,96272384,4874727424,0,3530752,3214942,4454711
07-12 18:07:50,55.941,14.851,26.980,1.980,0.248,2618597376,25877045248,96272384,4874735616,0,3006464,3588180,4359087
07-12 18:07:51,49.751,14.179,32.587,2.736,0.746,2619031552,25876611072,96272384,4874735616,0,3203072,3144592,3586624
07-12 18:07:52,54.220,12.276,30.179,3.069,0.256,2618695680,25876938752,96272384,4874743808,0,3158016,3052656,3926317
07-12 18:07:53,50.503,13.568,32.161,3.266,0.503,2619338752,25876283392,96272384,4874756096,0,3502080,3480325,4242243
07-12 18:07:54,42.708,13.802,39.583,3.385,0.521,2619088896,25876529152,96272384,4874760192,0,2301952,4449931,4539676
07-12 18:07:55,49.876,11.663,35.236,2.730,0.496,2619064320,25876545536,96272384,4874768384,0,2043904,4520152,4421447
07-12 18:07:56,46.212,12.374,38.636,2.273,0.505,2619367424,25876238336,96272384,4874772480,0,2236416,3412744,3502974
07-12 18:07:57,50.250,15,31.250,3.250,0.250,2619863040,25875738624,96272384,4874776576,0,3690496,3786068,4642792
07-12 18:07:58,58.228,11.899,27.089,2.532,0.253,2621198336,25874399232,96272384,4874780672,0,3080192,3421610,4373953
07-12 18:07:59,60.553,10.302,25.879,2.764,0.503,2620649472,25874939904,96272384,4874788864,0,3297280,3022717,3785817
07-12 18:08:00,50.255,12.500,32.908,3.827,0.510,2620968960,25874612224,96272384,4874797056,0,3964928,3173453,3829447
07-12 18:08:01,49.628,12.903,34.739,2.481,0.248,2621849600,25873731584,96272384,4874797056,0,2568192,2481233,2820629
07-12 18:08:02,51.889,12.091,32.494,3.023,0.504,2622328832,25873248256,96272384,4874801152,0,3227648,3042102,3864932
07-12 18:08:03,51.031,11.598,33.505,3.351,0.515,2622398464,25873166336,96272384,4874813440,0,2842624,2807332,3005931
07-12 18:08:04,37.280,13.350,46.096,3.023,0.252,2622484480,25873076224,96272384,4874817536,0,1961984,2577430,2628476
07-12 18:08:05,38.642,12.010,45.953,3.133,0.261,2622603264,25872953344,96272384,4874821632,0,2162688,2518440,2577000
07-12 18:08:06,43.342,12.533,39.426,4.439,0.261,2623254528,25872302080,96272384,4874821632,0,3178496,2683248,3124167
07-12 18:08:07,44.275,12.468,40.458,2.036,0.763,2623119360,25872433152,96272384,4874825728,0,1675264,2417742,2413496
07-12 18:08:08,38.107,13.299,45.269,2.813,0.512,2623365120,25872187392,96272384,4874825728,0,1572864,2390200,2438210
07-12 18:08:09,40.897,9.763,46.438,2.375,0.528,2623053824,25872498688,96272384,4874825728,0,1527808,2151975,2105527
07-12 18:08:10,41.944,14.066,40.153,2.558,1.279,2623524864,25872027648,96272384,4874825728,0,1933312,2367282,2482825
07-12 18:08:11,39.119,13.212,43.782,3.368,0.518,2623860736,25871687680,96272384,4874829824,0,2068480,2496350,2540081
07-12 18:08:12,44.961,12.661,40.052,2.067,0.258,2623680512,25871867904,96272384,4874829824,0,1593344,2890142,2827541
07-12 18:08:13,54.613,12.968,29.177,2.743,0.499,2624147456,25871384576,96272384,4874846208,0,3211264,3358211,4202561
07-12 18:08:14,50.895,13.811,31.458,3.325,0.512,2624946176,25870585856,96272384,4874846208,0,3330048,3432839,4002184
07-12 18:08:15,44.301,13.472,37.824,3.627,0.777,2624614400,25870909440,96272384,4874854400,0,2945024,2779218,3219859
07-12 18:08:16,56.642,10.025,30.827,1.754,0.752,2624966656,25870553088,96272384,4874858496,0,1486848,2938379,2842051
07-12 18:08:17,37.533,13.123,44.094,4.462,0.787,2624978944,25870536704,96272384,4874862592,0,1740800,2649206,2647703
07-12 18:08:18,38.727,10.080,46.419,3.979,0.796,2625003520,25870503936,96272384,4874870784,0,1835008,2653361,2679999
07-12 18:08:19,41.299,11.948,42.597,3.636,0.519,2624745472,25870757888,96272384,4874874880,0,2281472,2378051,2619435
07-12 18:08:20,62.437,12.183,22.081,2.792,0.508,2626056192,25869443072,96272384,4874878976,0,3608576,3529856,4412000
07-12 18:08:21,55.928,11.856,29.381,2.320,0.515,2625810432,25869688832,96272384,4874878976,0,3043328,3552085,4323479
07-12 18:08:22,44.961,11.111,40.827,2.842,0.258,2625826816,25869672448,96272384,4874878976,0,1982464,3016194,3118396
07-12 18:08:23,43.358,13.534,40.100,2.506,0.501,2625937408,25869561856,96272384,4874878976,0,1994752,2769852,2930198
07-12 18:08:24,42.092,13.010,41.837,2.551,0.510,2626273280,25869221888,96272384,4874883072,0,1687552,3601437,3530781
07-12 18:08:25,47.583,13.486,35.878,2.545,0.509,2626351104,25869144064,96272384,4874883072,0,1703936,3680301,3617153
07-12 18:08:26,44.041,13.990,39.378,2.073,0.518,2627706880,25867788288,96272384,4874883072,0,1585152,3786086,3672752
07-12 18:08:27,40.102,13.198,43.401,3.046,0.254,2627616768,25867878400,96272384,4874883072,0,1892352,2911986,3004480
07-12 18:08:28,44.103,11.538,41.282,2.564,0.513,2627670016,25867821056,96272384,4874887168,0,1720320,2915217,2954088
07-12 18:08:29,45.153,11.735,40.306,2.551,0.255,2627870720,25867616256,96272384,4874891264,0,1777664,3485375,3412434
07-12 18:08:30,43.990,16.113,37.084,2.302,0.512,2628481024,25867005952,96272384,4874891264,0,1716224,4107241,4075140
07-12 18:08:31,55.556,12.121,29.545,2.525,0.253,2628222976,25867264000,96272384,4874891264,0,2551808,3765292,4329022
07-12 18:08:32,52.672,13.740,29.771,3.562,0.254,2628448256,25867038720,96272384,4874891264,0,3743744,3308704,4263552
07-12 18:08:33,46.193,12.183,37.817,3.553,0.254,2628784128,25866702848,96272384,4874891264,0,2793472,2456260,2909382
07-12 18:08:34,60.247,13.827,23.704,2.222,0,2628628480,25866858496,96272384,4874891264,0,3149824,3687068,4720383
07-12 18:08:35,43.377,12.987,40.260,3.117,0.260,2629455872,25866027008,96272384,4874895360,0,3067904,2851978,3459524
07-12 18:08:36,44.359,15.128,36.154,4.103,0.256,2629484544,25865994240,96272384,4874899456,0,3309568,2966138,3590248
07-12 18:08:37,52.010,12.312,32.161,3.266,0.251,2630062080,25865412608,96272384,4874903552,0,3719168,3053138,4012591
07-12 18:08:38,44.757,10.230,42.455,2.558,0,2630086656,25865383936,96272384,4874907648,0,1826816,2436189,2524982
07-12 18:08:39,32.653,12.245,52.296,2.551,0.255,2630389760,25865043968,96272384,4874907648,0,1552384,2272828,2336323
07-12 18:08:40,33.947,11.053,52.105,2.632,0.263,2630373376,25865060352,96272384,4874907648,0,1548288,2334099,2377245
07-12 18:08:41,45.844,10.579,41.814,1.511,0.252,2630324224,25865109504,96272384,4874907648,0,1425408,2066685,2023257
07-12 18:08:42,38.120,11.488,47.781,2.350,0.261,2630385664,25865043968,96272384,4874911744,0,1531904,2231552,2282571
07-12 18:08:43,35.079,8.901,53.403,2.356,0.262,2630483968,25864945664,96272384,4874911744,0,1372160,2253278,2333369
07-12 18:08:44,34.937,14.684,47.089,2.785,0.506,2630324224,25865101312,96272384,4874915840,0,1449984,2501959,2538510
07-12 18:08:45,38.421,10.789,47.105,3.158,0.526,2630406144,25865035776,96272384,4874915840,0,1712128,2442423,2435976
07-12 18:08:46,42.298,11.749,42.559,2.611,0.783,2630373376,25865084928,96272384,4874915840,0,1949696,2786019,2596808
07-12 18:08:47,34.447,11.568,51.157,1.799,1.028,2630156288,25865297920,96272384,4874919936,0,983040,2307571,2302272
07-12 18:08:48,39.791,8.377,50,1.309,0.524,2630348800,25865093120,96272384,4874932224,0,827392,2564136,2533961
07-12 18:08:49,31.877,10.797,55.527,1.285,0.514,2630479872,25864962048,96272384,4874932224,0,831488,2215443,2135341
07-12 18:08:50,35.190,11.646,51.139,1.519,0.506,2631598080,25863843840,96272384,4874932224,0,749568,2462439,2427231
07-12 18:08:51,32.105,11.316,54.474,1.579,0.526,2621841408,25875070976,96272384,4874932224,0,786432,2418013,2309550
07-12 18:08:52,35.751,6.218,58.031,0,0,2621816832,25875185664,96272384,4874940416,0,184320,2502004,2505249
07-12 18:08:53,28.117,6.897,64.191,0.265,0.531,2621878272,25875120128,96272384,4874944512,0,131072,2035053,2044059
07-12 18:08:54,31.593,7.572,60.313,0.261,0.261,2621902848,25875095552,96272384,4874944512,0,86016,2206836,2137646
07-12 18:08:55,24.352,7.772,67.358,0.259,0.259,2622652416,25874345984,96272384,4874944512,0,24576,1769714,1727771
